VJGene	WAS9CD8TCM	WAS6CD8TCM	WAS4CD8TCM	WAS8CD8TCM	WAS4CD4TEM	WAS6CD4TEM	WAS8CD4TEM	WAS9CD4TEM
TRBV13-1|TRBJ1-1	0.0048	0.01	0.0032	0.0067	0.0068	0.01	0.0093	0.0102
TRBV12-2|TRBJ1-4	0.004	0.0008	0	0.004	0.008	0.01	0.003	0.0055
TRBV16|TRBJ1-3	0.004	0.005	0.0032	0.0034	0.0018	0.0037	0.0024	0.0017
TRBV31|TRBJ1-2	0.004	0.0083	0.0049	0.0007	0	0.0012	0.0006	0
TRBV31|TRBJ2-4	0.004	0.0017	0.0032	0.004	0.0025	0.005	0.0021	0.0026
TRBV15|TRBJ2-4	0.004	0.005	0.0227	0.0067	0.0025	0.0075	0.0039	0.0032
TRBV15|TRBJ2-3	0.004	0.0058	0.0032	0.0067	0.0043	0.0037	0.0069	0.0055
TRBV15|TRBJ2-2	0.004	0.01	0.013	0.004	0.0012	0	0.0015	0.0017
TRBV26|TRBJ2-5	0.004	0.0008	0.0032	0.0013	0.0006	0.0037	0.0006	0.0012
TRBV12-2|TRBJ2-5	0.004	0.0058	0.0114	0.0013	0.0154	0.0162	0.0177	0.0133
TRBV16|TRBJ1-4	0.004	0.0017	0.0016	0.0027	0.0043	0.0075	0.0051	0.0041
TRBV2|TRBJ1-1	0.004	0.0033	0	0.004	0.0018	0	0.0006	0.0012
TRBV15|TRBJ1-2	0.004	0.0017	0.0049	0.0007	0.0018	0.0025	0.0006	0.0012
TRBV20|TRBJ1-1	0.004	0.0017	0.0032	0.0027	0.0025	0.0012	0.0015	0.002
TRBV3|TRBJ1-2	0.004	0.005	0.0081	0.0067	0.0012	0.0012	0.0015	0.0017
TRBV1|TRBJ1-2	0.004	0.0008	0.0016	0.0027	0.0006	0.0012	0.0006	0.0015
TRBV3|TRBJ2-1	0.004	0.01	0.0049	0.0047	0.0111	0.005	0.0069	0.0093
TRBV4|TRBJ1-3	0.004	0.0033	0.0016	0	0.0012	0	0.0012	0.0012
TRBV4|TRBJ1-1	0.004	0.0025	0.0032	0.0054	0.0025	0.0075	0.0018	0.0017
TRBV13-1|TRBJ1-4	0.004	0.0042	0.0081	0.004	0.0025	0.0025	0.0024	0.0038
TRBV13-1|TRBJ1-2	0.004	0.0042	0	0.004	0.0012	0.0062	0.0048	0.0046
TRBV29|TRBJ1-4	0.0032	0.0025	0	0.0047	0.0031	0.0025	0.003	0.0035
TRBV31|TRBJ1-4	0.0032	0.0067	0.0032	0.002	0	0.0025	0.0009	0.0003
TRBV31|TRBJ2-3	0.0032	0.0092	0.0065	0.0054	0	0.0037	0.0009	0.0017
TRBV16|TRBJ2-2	0.0032	0.0033	0.0032	0.0034	0.0031	0.005	0.0054	0.0026
TRBV2|TRBJ2-3	0.0032	0	0.0016	0.004	0.0031	0.0025	0.0012	0.0012
TRBV2|TRBJ2-1	0.0032	0.0033	0.0016	0.002	0.0006	0.0012	0.0018	0.0029
TRBV20|TRBJ1-2	0.0032	0.0025	0	0.0007	0.0018	0.0012	0.0003	0.0006
TRBV29|TRBJ2-3	0.0032	0.0008	0.0016	0.0034	0.0031	0.0025	0.0054	0.0032
TRBV5|TRBJ1-5	0.0032	0.0008	0	0.0013	0.0006	0.0012	0.0009	0.0017
TRBV20|TRBJ2-4	0.0032	0.0033	0.0016	0.0034	0	0.0012	0.0012	0.0009
TRBV26|TRBJ2-4	0.0032	0	0	0.0013	0	0.0012	0.0009	0.0009
TRBV13-2|TRBJ1-4	0.0032	0.0042	0.0146	0.0047	0.0031	0.005	0.0042	0.0035
TRBV13-2|TRBJ2-2	0.0032	0.0033	0.0016	0.0074	0.0006	0.0012	0.0018	0.0023
TRBV17|TRBJ2-5	0.0032	0.0033	0.0032	0.002	0.0092	0.0075	0.0081	0.0084
TRBV13-1|TRBJ2-2	0.0032	0.0058	0.0049	0.002	0.0031	0.005	0.0048	0.0032
TRBV26|TRBJ1-2	0.0032	0.0017	0.0049	0.0034	0	0	0.0006	0.0003
TRBV13-1|TRBJ1-5	0.0032	0.0033	0	0.002	0.0037	0.0012	0.0015	0.0012
TRBV13-1|TRBJ1-6	0.0032	0	0	0.0013	0.0062	0	0.0027	0.0032
TRBV13-1|TRBJ1-3	0.0032	0.005	0.013	0.0027	0.0012	0.0037	0.003	0.0035
TRBV12-2|TRBJ1-1	0.0024	0.0017	0	0.0013	0.0099	0.005	0.0072	0.0093
TRBV12-1|TRBJ2-7	0.0024	0.0025	0.013	0.008	0.024	0.015	0.0327	0.0258
TRBV1|TRBJ1-5	0.0024	0.0025	0	0.0027	0.0037	0.0012	0.0006	0.0009
TRBV1|TRBJ2-3	0.0024	0.0167	0.0016	0.0067	0.0092	0.0037	0.0066	0.0087
TRBV26|TRBJ2-1	0.0024	0	0.0016	0.0034	0.0006	0	0.0021	0.0006
TRBV26|TRBJ2-7	0.0024	0.0017	0.0016	0.0047	0.0037	0.0075	0.0027	0.0035
TRBV31|TRBJ1-1	0.0024	0.0083	0.0032	0.0034	0.0006	0.0012	0.0033	0.0017
TRBV31|TRBJ2-2	0.0024	0.0025	0.0049	0.0007	0.0031	0	0.0003	0.0015
TRBV16|TRBJ2-3	0.0024	0.0067	0.0032	0.002	0.0136	0.01	0.0093	0.0067
TRBV15|TRBJ2-5	0.0024	0.0092	0.0065	0.0054	0.0037	0.0037	0.0033	0.0044
TRBV20|TRBJ2-2	0.0024	0.0017	0.0049	0.004	0.0006	0	0.0003	0.0012
TRBV5|TRBJ1-2	0.0024	0.0008	0	0.0013	0.0012	0	0.0012	0.0006
TRBV12-2|TRBJ2-1	0.0024	0.0033	0.0016	0.0013	0.0197	0.0087	0.0174	0.0183
TRBV2|TRBJ2-4	0.0024	0.0083	0.0016	0.0047	0.0018	0	0.0021	0.0012
TRBV15|TRBJ1-5	0.0024	0.0008	0	0	0.0031	0.0025	0.0018	0.0009
TRBV15|TRBJ1-3	0.0024	0.0025	0.0032	0.0027	0.0012	0.0025	0.0006	0.0015
TRBV20|TRBJ1-3	0.0024	0.0033	0	0.0007	0	0	0	0.0015
TRBV19|TRBJ2-2	0.0024	0.0017	0.0049	0.0027	0.0012	0.005	0.0015	0.002
TRBV19|TRBJ1-6	0.0024	0.0008	0.0016	0.0047	0.0012	0.0012	0.0012	0.0015
TRBV4|TRBJ2-3	0.0024	0.0017	0.0016	0.004	0.0062	0.0112	0.0054	0.0052
TRBV4|TRBJ2-7	0.0024	0.0083	0.0049	0.004	0.0092	0.0062	0.0102	0.0081
TRBV3|TRBJ2-3	0.0024	0.005	0.0081	0.006	0.0043	0.0062	0.0042	0.0061
TRBV17|TRBJ2-2	0.0024	0.0008	0	0.0027	0.008	0.005	0.0024	0.0061
TRBV14|TRBJ1-1	0.0024	0.0042	0.0016	0.004	0.0018	0.0012	0.003	0.0035
TRBV26|TRBJ1-4	0.0024	0.0017	0.0049	0.0013	0	0.0012	0.0012	0
TRBV23|TRBJ1-1	0.0024	0	0.0016	0.0034	0	0	0.0003	0.0003
TRBV23|TRBJ2-7	0.0016	0.0008	0.0016	0.0013	0.0006	0	0.0003	0.0009
TRBV23|TRBJ2-5	0.0016	0	0	0.0027	0	0	0.0009	0.0009
