VDJGene	WAS9CD8TCM	WAS6CD8TCM	WAS4CD8TCM	WAS8CD8TCM	WAS4CD4TEM	WAS6CD4TEM	WAS8CD4TEM	WAS9CD4TEM
TRBV12-1|TRBD2|TRBJ2-4	0.004	0.0008	0	0.0013	0.0031	0.0075	0.0057	0.0046
TRBV13-3|TRBD2|TRBJ2-1	0.004	0.0008	0.0032	0.0013	0.0062	0.0187	0.0078	0.0058
TRBV13-3|TRBD2|TRBJ2-4	0.004	0.0042	0.013	0.004	0.0006	0	0.0027	0.0023
TRBV3|TRBD1|TRBJ1-2	0.004	0.0033	0.0081	0.006	0.0012	0.0012	0.0012	0.0017
TRBV4|TRBD1|TRBJ1-1	0.004	0.0025	0.0032	0.0054	0.0025	0.0075	0.0015	0.0017
TRBV4|TRBD1|TRBJ1-3	0.004	0.0033	0.0016	0	0.0012	0	0.0012	0.0012
TRBV15|TRBD2|TRBJ2-1	0.004	0.005	0.0146	0.0047	0.0062	0.0025	0.006	0.0046
TRBV15|TRBD2|TRBJ2-4	0.004	0.0033	0.0081	0.0034	0.0018	0.005	0.0021	0.002
TRBV16|TRBD2|TRBJ2-4	0.004	0.0017	0	0.0013	0.0049	0	0.0039	0.0052
TRBV16|TRBD2|TRBJ2-5	0.004	0.01	0.0016	0.0013	0.0031	0.0037	0.0081	0.0044
TRBV1|TRBD2|TRBJ2-2	0.004	0.0042	0.0016	0.002	0.0006	0.0012	0.0012	0.0009
TRBV12-2|TRBD1|TRBJ1-4	0.004	0.0008	0	0.004	0.008	0.01	0.003	0.0055
TRBV1|TRBD1|TRBJ2-4	0.004	0.0075	0	0.0054	0.0006	0	0.0006	0.0015
TRBV1|TRBD1|TRBJ2-5	0.004	0.0025	0.0049	0.0034	0.0031	0.0037	0.0009	0.0012
TRBV1|TRBD1|TRBJ2-1	0.004	0.0058	0.0081	0.004	0.0049	0.0012	0.003	0.0038
TRBV12-1|TRBD1|TRBJ2-1	0.004	0	0	0.0013	0.0068	0.005	0.0084	0.0067
TRBV12-1|TRBD1|TRBJ2-3	0.004	0	0	0.0007	0.0012	0.0012	0.0021	0.0049
TRBV13-1|TRBD1|TRBJ1-2	0.004	0.0033	0	0.0027	0.0006	0.0062	0.0048	0.0041
TRBV16|TRBD1|TRBJ1-4	0.004	0.0017	0.0016	0.0013	0.0031	0.0075	0.0051	0.0029
TRBV16|TRBD2|TRBJ2-1	0.004	0.0025	0.0016	0.002	0.0074	0.0012	0.0072	0.007
TRBV19|TRBD1|TRBJ2-4	0.004	0.0042	0.0065	0.0013	0.0006	0.0012	0.0015	0.002
TRBV19|TRBD1|TRBJ2-1	0.004	0.0025	0	0.004	0.0018	0.0025	0.003	0.0038
TRBV31|TRBD1|TRBJ2-7	0.0032	0.0042	0.0097	0.002	0.0018	0.0037	0.0009	0.0015
TRBV20|TRBD1|TRBJ1-2	0.0032	0.0025	0	0.0007	0.0018	0.0012	0.0003	0.0006
TRBV29|TRBD1|TRBJ1-4	0.0032	0.0025	0	0.0047	0.0018	0.0025	0.0027	0.0029
TRBV5|TRBD2|TRBJ2-4	0.0032	0.0025	0.0081	0.0074	0	0.0012	0.0027	0.0006
TRBV31|TRBD1|TRBJ1-4	0.0032	0.0067	0.0032	0.002	0	0.0025	0.0009	0.0003
TRBV20|TRBD2|TRBJ2-5	0.0032	0.0008	0.0032	0.0034	0.0006	0	0	0.0006
TRBV13-2|TRBD1|TRBJ1-4	0.0032	0.0042	0.0146	0.0047	0.0031	0.005	0.0039	0.0032
